id,title,original_title,overview,genre_ids,language,rating,poster,type,release_date,author
tv_4239,Married... with Children,Married... with Children,"Al Bundy is an unsuccessful middle aged shoe salesman with a miserable life and an equally dysfunctional family. He hates his job, his wife is lazy, his son is dysfunctional (especially with women), and his daughter is dim-witted and promiscuous.",[35],en,7.737,https://image.tmdb.org/t/p/w500/qxdOgESOkBMmfcWUizL01mbdqzl.jpg,tv_show,1987-04-05,
tv_210081,Sherri,Sherri,"Sherri Shepherd, actress, comic, and Emmy Award-winning longtime co-host of ""The View"", appears before a live audience with a daily dose of pop culture, comedy, conversations, and daytime talk staples, including celebrity and human interest interviews.",[10767],en,2.7,https://image.tmdb.org/t/p/w500/w6K4LsGYTBbuYpDG9qR20g6p1NT.jpg,tv_show,2022-09-12,
tv_71789,SEAL Team,SEAL Team,"Military drama following the professional and personal lives of the most elite unit of Navy SEALs as they train, plan and execute the most dangerous, high stakes missions our country can ask of them.","[10759, 18, 10768]",en,8.033,https://image.tmdb.org/t/p/w500/6iSnec83UEMgLOXAtGYwaVNHLjR.jpg,tv_show,2017-09-27,
tv_1877,Phineas and Ferb,Phineas and Ferb,"Each day, two kindhearted suburban stepbrothers on summer vacation embark on some grand new project, which annoys their controlling sister, Candace, who tries to bust them. Meanwhile, their pet platypus plots against evil Dr. Doofenshmirtz.","[16, 35, 10751, 10765]",en,7.893,https://image.tmdb.org/t/p/w500/g6TidT7be954rrzPPBTIXkSmfXj.jpg,tv_show,2007-08-17,
tv_1422,The Middle,The Middle,"The daily mishaps of a married woman and her semi-dysfunctional family and their attempts to survive life in general in the city of Orson, Indiana.",[35],en,7.6,https://image.tmdb.org/t/p/w500/u6FluiFx3ocVS0MgZszfpPKXT2p.jpg,tv_show,2009-09-30,
tv_1855,Star Trek: Voyager,Star Trek: Voyager,"Pulled to the far side of the galaxy, where the Federation is 75 years away at maximum warp speed, a Starfleet ship must cooperate with Maquis rebels to find a way home.","[10765, 18, 10759]",en,7.8,https://image.tmdb.org/t/p/w500/gNS5tRSG3UlXodCxznKKOKweqxh.jpg,tv_show,1995-01-16,
tv_126308,Shōgun,Shōgun,"In Japan in the year 1600, at the dawn of a century-defining civil war, Lord Yoshii Toranaga is fighting for his life as his enemies on the Council of Regents unite against him, when a mysterious European ship is found marooned in a nearby fishing village.","[18, 10768]",en,8.414,https://image.tmdb.org/t/p/w500/7O4iVfOMQmdCSxhOg1WnzG1AgYT.jpg,tv_show,2024-02-27,
tv_84105,Mirzapur,Mirzapur,"The iron-fisted Akhandanand Tripathi is a millionaire carpet exporter and the mafia don of Mirzapur. His son, Munna, is an unworthy, power-hungry heir who will stop at nothing to inherit his father's legacy. An incident at a wedding procession forces him to cross paths with Ramakant Pandit, an upstanding lawyer, and his sons, Guddu and Bablu. It snowballs into a game of ambition, power and greed that threatens the fabric of this lawless city.","[80, 10759, 18]",en,7.992,https://image.tmdb.org/t/p/w500/1rxLUFVrtTo82OxhbDXJDiJVkwL.jpg,tv_show,2018-11-15,
tv_121,Doctor Who,Doctor Who,"The adventures of The Doctor, a time-traveling humanoid alien known as a Time Lord. He explores the universe in his TARDIS, a sentient time-traveling spaceship. Its exterior appears as a blue British police box, which was a common sight in Britain in 1963 when the series first aired. Along with a succession of companions, The Doctor faces a variety of foes while working to save civilizations, help ordinary people, and right many wrongs.","[18, 10759, 10765]",en,7.9,https://image.tmdb.org/t/p/w500/xinqAmYrZ1TEwowcQhgTkZVtVE0.jpg,tv_show,1963-11-23,
tv_1395,Gossip Girl,Gossip Girl,An exclusive group of privileged teens from a posh prep school on Manhattan's Upper East Side whose lives revolve around the blog of the all-knowing albeit ultra-secretive Gossip Girl.,[18],en,8.2,https://image.tmdb.org/t/p/w500/mRvSUuU1VQQkZZ578jKJpcUCuL8.jpg,tv_show,2007-09-19,
tv_195670,"XO, Kitty","XO, Kitty","Teen matchmaker Kitty Song Covey thinks she knows everything there is to know about love. But when she moves halfway across the world to reunite with her long-distance boyfriend, she'll soon realise that relationships are a lot more complicated when it's your heart on the line.","[35, 18]",en,8.1,https://image.tmdb.org/t/p/w500/hxvTdKAwv27PUfpXOQp6AwWr6V.jpg,tv_show,2023-05-18,
tv_315038,Resort,ரிசார்ட்,A debt-ridden room service boy rises to challenge a ruthless kitchen at a luxurious beachside haven.,"[35, 18]",en,0.0,https://image.tmdb.org/t/p/w500/cL7iOwqapRRb7eKKlXI4FDaP6rh.jpg,tv_show,2026-03-13,
tv_210865,Golden Boy,Yalı Çapkını,"When Istanbul playboy Ferit Korhan's exasperated grandfather arranges his marriage to a girl from Gaziantep, fate intervenes — Ferit falls for Seyran, the younger sister of his intended bride, upending both families. Starring Afra Saraçoğlu and Mert Ramazan Demir, this record-breaking Turkish drama weaves together a forced marriage, dark family secrets and a love story built on constant conflict, sold to over 130 territories worldwide.","[10751, 18]",en,8.342,https://image.tmdb.org/t/p/w500/cgf5R2XrfRQGp2sTu3cncbnFxRy.jpg,tv_show,2022-09-23,
